    M     N  Error blk      Time     MFLOPS   Error ref      Time     MFLOPS 
  850   850 0.008896       0.05    8457.88 0.012252       0.05    8885.63
  860   860 0.008497       0.05    8529.93 0.010294       0.05    9056.53
  870   870 0.008901       0.05    8529.29 0.012233       0.05    9067.53
  880   880 0.008419       0.05    8424.76 0.011264       0.05    9057.92
  890   890 0.008085       0.06    8500.20 0.010720       0.05    9063.16
  900   900 0.008208       0.06    8546.12 0.009206       0.05    9070.38
  910   910 0.008587       0.06    8295.16 0.009694       0.06    8821.24
  920   920 0.008025       0.06    8524.54 0.010188       0.06    9092.31
  930   930 0.007979       0.06    8514.64 0.009795       0.06    9125.37
  940   940 0.007975       0.06    8550.54 0.011639       0.06    9134.17
  950   950 0.007997       0.07    8329.34 0.010042       0.06    8860.81
  960   960 0.008350       0.07    8530.63 0.009692       0.06    9115.96
  970   970 0.007989       0.07    8575.98 0.010839       0.07    9108.74
  980   980 0.007522       0.07    8481.32 0.010363       0.07    9203.62
  990   990 0.007903       0.08    8513.71 0.011568       0.07    9185.64
 1000  1000 0.007935       0.08    8433.25 0.008916       0.07    9187.81
